Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
222,RICK,Consumer Cyclical,Restaurants,NASDAQ,139.86,96,93,90,36
223,BSM,Energy,Oil & Gas E&P,NYSE,139.85,96,97,96,97
224,LW,Consumer Defensive,Packaged Foods,NYSE,139.76,96,92,94,94
225,UTHR,Healthcare,Biotechnology,NASDAQ,139.56,96,93,83,96
226,CI,Healthcare,Healthcare Plans,NYSE,139.47,96,92,94,95
227,TITN,Industrials,Industrial Distribution,NASDAQ,139.4,96,92,81,42
228,MVO,Energy,Oil & Gas E&P,NYSE,139.25,96,97,98,96
229,ALNY,Healthcare,Biotechnology,NASDAQ,138.96,96,94,95,47
230,GLOP,Energy,Oil & Gas Midstream,NYSE,138.96,96,98,93,98
231,ARLP,Energy,Thermal Coal,NASDAQ,138.86,96,96,99,99
232,MEDP,Healthcare,Diagnostics & Research,NASDAQ,138.77,96,94,50,46
233,LVS,Consumer Cyclical,Resorts & Casinos,NYSE,138.66,96,87,86,45
234,GFF,Industrials,Tools & Accessories,NYSE,138.6,95,94,96,94
235,ASO,Consumer Cyclical,Specialty Retail,NASDAQ,138.39,95,81,93,66
236,GGB,Basic Materials,Steel,NYSE,138.24,95,92,53,57
237,NETI,Industrials,Marine Shipping,NYSE,138.19,95,94,73,35
238,JOB,Industrials,Staffing & Employment Services,NYSE MKT,138.14,95,95,93,83
239,AAON,Industrials,Building Products & Equipment,NASDAQ,138.04,95,94,57,53
240,CYCCP,Healthcare,Biotechnology,NASDAQ,137.92,95,83,47,44
241,CAAP,Industrials,Airports & Air Services,NYSE,137.75,95,96,92,82
242,VCYT,Healthcare,Biotechnology,NASDAQ,137.7,95,91,20,17
243,TIGR,Financial Services,Capital Markets,NASDAQ,137.58,95,76,16,20
244,FSI,Basic Materials,Specialty Chemicals,NYSE MKT,137.56,95,82,12,24
245,BTAI,Healthcare,Biotechnology,NASDAQ,137.51,95,58,31,14
246,INNV,Healthcare,Medical Care Facilities,NASDAQ,137.45,95,96,37,23
247,HURN,Industrials,Consulting Services,NASDAQ,137.45,95,93,93,97
248,PDS,Energy,Oil & Gas Drilling,NYSE,137.28,95,98,95,98
249,TEDU,Consumer Defensive,Education & Training Services,NASDAQ,137.19,95,96,99,99
250,MRK,Healthcare,Drug Manufacturers—General,NYSE,137.17,95,89,87,96
251,VMD,Healthcare,Medical Devices,NASDAQ,137.11,95,93,80,74
252,ACLS,Technology,Semiconductor Equipment & Materials,NASDAQ,137.08,95,91,82,69
253,MPC,Energy,Oil & Gas Refining & Marketing,NYSE,136.98,95,97,95,97
254,ASUR,Technology,Software—Application,NASDAQ,136.88,95,83,25,42
255,ENLC,Energy,Oil & Gas Midstream,NYSE,136.78,95,96,95,95
256,IBRX,Healthcare,Biotechnology,NASDAQ,136.67,95,90,94,13
257,PCG,Utilities,Utilities—Regulated Electric,NYSE,136.67,95,93,93,65
258,AMKR,Technology,Semiconductors,NASDAQ,136.63,95,90,41,33
259,ATEN,Technology,Software—Infrastructure,NYSE,136.5,95,92,48,89
260,LUNA,Technology,Scientific & Technical Instruments,NASDAQ,136.44,95,48,20,21
261,LTRPB,Communication Services,Internet Content & Information,NASDAQ,136.43,95,94,99,13
262,WFRD,Energy,Oil & Gas Equipment & Services,NASDAQ,136.41,95,98,94,87
263,CANG,Communication Services,Internet Content & Information,NYSE,136.4,95,94,85,99
264,BORR,Energy,Oil & Gas Drilling,NYSE,136.37,95,98,97,99
265,ALLK,Healthcare,Biotechnology,NASDAQ,136.29,95,98,26,1
266,CIR,Industrials,Specialty Industrial Machinery,NYSE,136.28,95,57,25,19
267,LANC,Consumer Defensive,Packaged Foods,NASDAQ,136.24,95,96,90,42
268,INTA,Technology,Software—Application,NASDAQ,136.14,95,86,37,20
269,NWFL,Financial Services,Banks—Regional,NASDAQ,136.12,95,90,87,69
270,SWIR,Technology,Communication Equipment,NASDAQ,136.11,95,96,98,97
271,CVI,Energy,Oil & Gas Refining & Marketing,NYSE,136.05,95,99,97,99
272,CBAY,Healthcare,Biotechnology,NASDAQ,136.03,95,89,97,28
273,AGI,Basic Materials,Gold,NYSE,136.0,95,89,59,69
274,PARR,Energy,Oil & Gas Refining & Marketing,NYSE,135.86,95,97,90,95
275,STG,Consumer Defensive,Education & Training Services,NYSE,135.85,95,38,22,61
276,STRM,Healthcare,Health Information Services,NASDAQ,135.83,95,89,85,34
277,WVE,Healthcare,Biotechnology,NASDAQ,135.56,95,97,92,34
278,YSG,Consumer Cyclical,Specialty Retail,NYSE,135.52,95,84,69,21
279,NRIM,Financial Services,Banks—Regional,NASDAQ,135.38,95,95,80,72
280,BKE,Consumer Cyclical,Apparel Retail,NYSE,135.36,95,88,68,42
281,MNRL,Energy,Oil & Gas E&P,NYSE,135.34,95,97,91,95
282,LMST,Financial Services,Banks—Regional,NASDAQ,135.25,95,95,85,78
283,SGHT,Healthcare,Medical Devices,NASDAQ,135.25,95,79,5,12
284,CVV,Industrials,Specialty Industrial Machinery,NASDAQ,135.18,95,94,92,60
285,HTHT,Consumer Cyclical,Lodging,NASDAQ,135.16,95,60,78,54
286,ANIX,Healthcare,Diagnostics & Research,NASDAQ,135.13,95,95,99,83
287,USLM,Basic Materials,Building Materials,NASDAQ,135.11,95,91,46,63
288,FN,Technology,Electronic Components,NYSE,135.09,95,91,81,39
289,FLEX,Technology,Electronic Components,NASDAQ,135.08,95,88,83,54
290,KRMD,Healthcare,Medical Instruments & Supplies,NASDAQ,135.08,95,85,74,25
291,AJRD,Industrials,Aerospace & Defense,NYSE,134.96,95,91,84,65
292,TR,Consumer Defensive,Confectioners,NYSE,134.91,95,93,76,87
293,GLP,Energy,Oil & Gas Midstream,NYSE,134.73,94,93,95,76
294,PFGC,Consumer Defensive,Food Distribution,NYSE,134.7,94,89,84,60
295,WRN,Basic Materials,Other Industrial Metals & Mining,NYSE MKT,134.66,94,74,27,60
296,FCFS,Financial Services,Credit Services,NASDAQ,134.63,94,92,87,70
297,GPC,Consumer Cyclical,Specialty Retail,NYSE,134.6,94,94,92,90
298,TMDI,Healthcare,Medical Devices,NASDAQ,134.51,94,22,24,21
299,GRIN,Industrials,Marine Shipping,NASDAQ,134.39,94,97,96,96
300,ROST,Consumer Cyclical,Apparel Retail,NASDAQ,134.32,94,67,68,33
301,RFP,Basic Materials,Paper & Paper Products,NYSE,134.27,94,97,98,88
302,FLR,Industrials,Engineering & Construction,NYSE,134.13,94,96,90,94
303,WYNN,Consumer Cyclical,Resorts & Casinos,NASDAQ,134.09,94,78,56,23
304,CLDX,Healthcare,Biotechnology,NASDAQ,134.08,94,83,51,30
305,CMC,Basic Materials,Steel,NYSE,133.95,94,92,82,81
306,BKTI,Technology,Communication Equipment,NYSE MKT,133.91,94,85,87,79
307,ATKR,Industrials,Electrical Equipment & Parts,NYSE,133.91,94,76,33,66
308,VMI,Industrials,Metal Fabrication,NYSE,133.89,94,94,90,70
309,PHAR,Healthcare,Biotechnology,NASDAQ,133.81,94,91,96,54
310,CRAI,Industrials,Consulting Services,NASDAQ,133.77,94,94,57,73
311,HEES,Industrials,Rental & Leasing Services,NASDAQ,133.71,94,88,44,38
312,ARCH,Energy,Thermal Coal,NYSE,133.59,94,95,89,99
313,PLPC,Industrials,Electrical Equipment & Parts,NASDAQ,133.58,94,93,93,74
314,STRA,Consumer Defensive,Education & Training Services,NASDAQ,133.56,94,94,78,73
315,MAXN,Technology,Solar,NASDAQ,133.41,94,98,99,53
316,ACGL,Financial Services,Insuranceâ€”Diversified,NASDAQ,133.39,94,93,83,88
317,ALGM,Technology,Semiconductors,NASDAQ,133.34,94,80,34,31
318,NBN,Financial Services,Banks—Regional,NASDAQ,133.34,94,89,88,94
319,CEA,Industrials,Airlines,NYSE,133.33,94,64,52,67
320,BFC,Financial Services,Banks—Regional,NASDAQ,133.28,94,93,87,91
321,BMRN,Healthcare,Biotechnology,NASDAQ,133.27,94,54,87,77
322,PAYS,Industrials,Specialty Business Services,NASDAQ,133.08,94,92,97,32
323,XNET,Communication Services,Advertising Agencies,NASDAQ,133.05,94,39,48,22
324,KNBE,Technology,Software—Infrastructure,NASDAQ,133.03,94,92,34,32
325,HRB,Consumer Cyclical,Personal Services,NYSE,132.98,94,95,98,98
326,GNW,Financial Services,Insurance—Life,NYSE,132.9,94,87,81,70
327,GPS,Consumer Cyclical,Apparel Retail,NYSE,132.82,94,48,19,13
328,MFGP,Technology,Software—Infrastructure,NYSE,132.77,94,97,94,30
329,SLB,Energy,Oil & Gas Equipment & Services,NYSE,132.67,94,98,89,94
330,PCGU,Utilities,Utilities—Regulated Electric,NYSE,132.47,94,92,91,69
331,XOM,Energy,Oil & Gas Integrated,NYSE,132.39,94,97,95,97
332,RCON,Energy,Oil & Gas Equipment & Services,NASDAQ,132.35,94,84,9,9
333,LSCC,Technology,Semiconductors,NASDAQ,132.32,94,82,48,40
334,NVEC,Technology,Semiconductors,NASDAQ,132.28,94,94,59,46
335,AE,Energy,Oil & Gas Integrated,NYSE MKT,132.19,94,96,47,93
336,HP,Energy,Oil & Gas Drilling,NYSE,132.11,94,96,95,96
337,HAE,Healthcare,Medical Instruments & Supplies,NYSE,132.05,94,93,94,89
338,VIVO,Healthcare,Diagnostics & Research,NASDAQ,132.02,94,92,96,98
339,FSM,Basic Materials,Silver,NYSE,131.96,94,87,15,34
340,LLY,Healthcare,Drug Manufacturers—General,NYSE,131.93,94,94,88,96
341,UNM,Financial Services,Insurance—Life,NYSE,131.9,94,94,97,97
342,EME,Industrials,Engineering & Construction,NYSE,131.88,94,95,83,56
343,YOU,Technology,Software—Application,NYSE,131.81,94,30,47,34
344,TK,Energy,Oil & Gas Midstream,NYSE,131.75,94,93,89,61
